point,x,y,z
point_362,1588902.125,6803899.5,0.6
point_363,1588901.75,6803897.0,0.6
point_364,1588901.25,6803893.5,0.6
point_365,1588901.0,6803891.0,0.6
point_366,1588900.5,6803887.5,0.6
point_367,1588900.125,6803885.0,0.6
point_368,1588899.75,6803881.5,0.6
point_369,1588899.25,6803878.0,0.6
point_370,1588917.0,6803987.5,0.6
point_371,1588916.5,6803984.0,0.6
point_372,1588916.125,6803981.0,0.6
point_373,1588915.75,6803978.0,0.6
point_374,1588915.25,6803975.5,0.6
point_375,1588915.0,6803972.0,0.6
point_376,1588914.5,6803969.0,0.6
point_377,1588914.125,6803966.0,0.6
point_378,1588913.75,6803963.5,0.6
point_379,1588913.25,6803960.0,0.6
point_380,1588912.75,6803957.0,0.6
point_381,1588912.5,6803954.0,0.6
point_382,1588912.125,6803951.0,0.6
point_383,1588911.625,6803947.5,0.6
point_384,1588911.25,6803945.0,0.6
point_385,1588910.75,6803941.5,0.6
point_386,1588910.5,6803939.0,0.6
point_387,1588910.0,6803935.5,0.6
point_388,1588909.5,6803933.0,0.6
point_389,1588909.25,6803929.5,0.6
point_390,1588908.75,6803927.0,0.6
point_391,1588908.25,6803923.5,0.6
point_392,1588908.0,6803921.0,0.6
point_393,1588907.5,6803917.5,0.6
point_394,1588907.125,6803914.0,0.6
point_395,1588906.75,6803911.5,0.6
point_396,1588906.25,6803908.0,0.6
point_397,1588905.75,6803905.0,0.6
point_398,1588905.5,6803902.0,0.6
point_399,1588905.125,6803899.5,0.6
point_400,1588904.625,6803896.0,0.6
point_401,1588904.25,6803893.0,0.6
point_402,1588903.75,6803890.0,0.6
point_403,1588903.5,6803887.5,0.6
point_404,1588903.125,6803884.0,0.6
point_405,1588902.625,6803881.0,0.6
point_406,1588902.25,6803878.0,0.6
point_407,1588920.0,6803987.0,0.6
point_408,1588919.5,6803983.5,0.6
point_409,1588919.125,6803981.0,0.6
point_410,1588918.75,6803977.5,0.6
point_411,1588918.25,6803975.0,0.6
point_412,1588918.0,6803971.5,0.6
point_413,1588917.5,6803969.0,0.6
point_414,1588917.125,6803965.5,0.6
point_415,1588916.75,6803963.0,0.6
point_416,1588916.25,6803959.5,0.6
point_417,1588915.75,6803957.0,0.6
point_418,1588915.5,6803953.5,0.6
point_419,1588915.125,6803950.0,0.6
point_420,1588914.625,6803947.5,0.6
point_421,1588914.25,6803944.0,0.6
point_422,1588913.75,6803941.0,0.6
point_423,1588913.25,6803938.0,0.6
point_424,1588913.0,6803935.5,0.6
point_425,1588912.5,6803932.0,0.6
point_426,1588912.125,6803929.0,0.6
point_427,1588911.75,6803926.0,0.6
point_428,1588911.25,6803923.5,0.6
point_429,1588911.0,6803920.0,0.6
point_430,1588910.5,6803917.0,0.6
point_431,1588910.125,6803914.0,0.6
point_432,1588909.625,6803911.5,0.6
point_433,1588909.25,6803908.0,0.6
point_434,1588908.75,6803905.0,0.6
point_435,1588908.5,6803902.0,0.6
point_436,1588908.125,6803899.0,0.6
point_437,1588907.625,6803895.5,0.6
point_438,1588907.25,6803893.0,0.6
point_439,1588906.75,6803889.5,0.6
point_440,1588906.25,6803887.0,0.6
point_441,1588906.0,6803883.5,0.6
point_442,1588905.5,6803881.0,0.6
point_443,1588905.125,6803877.5,0.6
point_444,1588923.0,6803986.0,0.6
point_445,1588922.5,6803983.5,0.6
point_446,1588922.125,6803980.0,0.6
point_447,1588921.75,6803977.0,0.6
point_448,1588921.25,6803974.0,0.6
point_449,1588920.875,6803971.5,0.6
point_450,1588920.5,6803968.0,0.6
point_451,1588920.125,6803965.0,0.6
point_452,1588919.625,6803962.0,0.6
point_453,1588919.25,6803959.5,0.6
point_454,1588918.75,6803956.0,0.6
point_455,1588918.5,6803953.0,0.6
point_456,1588918.0,6803950.0,0.6
point_457,1588917.5,6803947.5,0.6
point_458,1588917.125,6803944.0,0.6
point_459,1588916.75,6803941.0,0.6
point_460,1588916.25,6803938.0,0.6
point_461,1588916.0,6803935.0,0.6
point_462,1588915.5,6803931.5,0.6
point_463,1588915.125,6803929.0,0.6
point_464,1588914.75,6803925.5,0.6
point_465,1588914.25,6803923.0,0.6
point_466,1588913.75,6803919.5,0.6
point_467,1588913.5,6803917.0,0.6
point_468,1588913.125,6803913.5,0.6
point_469,1588912.625,6803911.0,0.6
point_470,1588912.25,6803907.5,0.6
point_471,1588911.75,6803905.0,0.6
point_472,1588911.25,6803901.5,0.6
point_473,1588911.0,6803898.0,0.6
point_474,1588910.5,6803895.5,0.6
point_475,1588910.125,6803892.0,0.6
point_476,1588909.75,6803889.0,0.6
point_477,1588909.25,6803886.0,0.6
point_478,1588908.75,6803883.5,0.6
point_479,1588908.5,6803880.0,0.6
point_480,1588908.125,6803877.0,0.6
point_481,1588926.0,6803986.0,0.6
point_482,1588925.5,6803983.5,0.6
point_483,1588925.125,6803980.0,0.6
point_484,1588924.75,6803977.0,0.6
point_485,1588924.25,6803974.0,0.6
point_486,1588923.875,6803971.0,0.6
point_487,1588923.5,6803967.5,0.6
point_488,1588923.125,6803965.0,0.6
